id	category	ko	en	jp
101	briefing	A 헤븐 세 명	Three A heaven	Aヘブン三人
102	briefing	오른쪽 셋 왼쪽 하나	Three right, one left	右に三人、左に一人
103	briefing	C로 가자 말고 B로 가자	Don't go C, go B instead	Cに行かないで、Bに行こう
104	briefing	내 연막 없어지기 전엔 피킹하지 마	Don't peek before my smoke disappears	自分のスモークが消える前にピークしないで
105	briefing	레이나한테 120 넣었는데 아직 살아 있어	I hit Reyna for 120, but she's still alive	レイナに120入れたけどまだ生きてる
106	briefing	나 2800밖에 없어서 오퍼는 못 사줘	I only have 2800, I can't buy you an Op	2800しかないからオペは買ってあげられない
107	briefing	왼쪽 비었는지 아직 몰라	I don't know if left is clear yet	左がクリアかどうかまだわからない
108	briefing	제트 혼자 간 게 아니라 세이지도 같이 갔어	Jett didn't go alone, Sage went with her	ジェットは一人で行ったんじゃなくてセージも一緒に行った
109	briefing	스파이크 주우러 가는 척하고 뒤로 빠져	Pretend to pick up the spike, then fall back	スパイクを拾いに行くふりをしてから下がって
110	briefing	네가 설치하면 내가 엄호할게	If you plant, I'll cover you	君が設置するなら自分がカバーする
111	social	오늘은 못 하고 내일 저녁에 같이 할래?	I can't play today, want to play tomorrow evening?	今日はできないけど明日の夜一緒にやらない？
112	social	마이크 소리가 작아서 무슨 말인지 못 들었어	Your mic was quiet, so I couldn't hear what you said	マイクの音が小さくて何を言ったか聞こえなかった
113	social	네 탓이라는 뜻은 아니었어	I didn't mean it was your fault	君のせいって意味じゃなかった
114	social	너무 급하게 말하면 번역기가 잘 못 알아들어	The translator struggles if you speak too quickly	早口すぎると翻訳機がうまく理解できない
115	slang	렉 때문에 화면 멈췄어 잠깐만	Lag froze my screen, one sec	ラグで画面が固まった、ちょっと待って
116	quoted	친구가 B 가라고 했지만 나는 A에 남았어	My friend said to go B, but I stayed A	友達にBへ行けと言われたけど自分はAに残った
