id	category	ko	en	jp
01	briefing	B	B	B
02	briefing	B 메인	B main	Bメイン
03	briefing	B 헤븐에 두 명	Two B heaven	Bヘブンに二人
04	briefing	A 롱에 세 명	Three A long	Aロングに三人
05	briefing	C에 한 명	One C	Cに一人
06	briefing	미드 둘	mid 2	ミッド二つ
07	briefing	B 러시	B rush	Bラッシュ
08	briefing	왼쪽 조심해	watch left	左に気をつけて
09	briefing	왼쪽으로 가지 마	don't go left	左に行かないで
10	briefing	오른쪽에는 적 없어	No enemies on the right	右に敵はいない
11	briefing	아마 오른쪽에 두 명	Maybe two on the right	たぶん右に二人
12	briefing	B로 가자 말고 A로 가자	Don't go B, go A instead	Bに行かないで、Aに行こう
13	briefing	A 메인 아니고 B 헤븐	Not A main, B heaven	AメインじゃなくてBヘブン
14	briefing	내가 섬광 쓸 때까지 기다려	Wait until I flash	自分がフラッシュを入れるまで待って
15	briefing	아직 들어가지 마	Don't enter yet	まだ入らないで
16	briefing	지금 들어가도 돼	You can enter now	今入っていいよ
17	briefing	뒤에서 발소리 들었어	I heard footsteps behind us	後ろで足音がした
18	briefing	뒤에 있을 수도 있어	Someone might be behind us	後ろにいるかもしれない
19	briefing	아군 둘이 B 헤븐 지키고 있어	Two teammates are holding B heaven	味方二人がBヘブンを守ってる
20	briefing	왼쪽 하나 오른쪽 둘	One left, two right	左に一人、右に二人
21	briefing	제트한테 80 넣었어	I hit Jett for 80	ジェットに80入れた
22	briefing	제트 딸피인데 정확한 체력은 몰라	Jett is low, I don't know her exact HP	ジェットはローだけど正確な体力はわからない
23	briefing	세이지 힐 있어?	Sage, do you have heal?	セージ、ヒールある？
24	briefing	힐 없어 10초 뒤에 가능	No heal, ready in 10 seconds	ヒールない、あと10秒で使える
25	briefing	스파이크 B에 떨어졌어	Spike dropped B	スパイクがBに落ちた
26	briefing	스파이크 줍지 말고 각 잡아	Don't pick up the spike, hold the angle	スパイクを拾わずに射線を見て
27	briefing	설치할게 엄호해줘	I'm planting, cover me	設置するからカバーして
28	briefing	해체하는 척만 해	Just fake the defuse	解除するふりだけして
29	briefing	해체 절반 했어	Defuse is halfway done	解除半分まで進んだ
30	briefing	시간 없으니까 싸우지 말고 설치해	No time, stop fighting and plant	時間ないから戦わずに設置して
31	briefing	이번 라운드 세이브하자	Let's save this round	このラウンドはセーブしよう
32	briefing	나 3900 있어 밴달 사줄 수 있어	I have 3900, I can buy you a Vandal	3900あるからヴァンダル買ってあげられる
33	briefing	다음 판 풀바이 하자	Full buy next round	次のラウンドはフルバイしよう
34	briefing	오퍼 들고 있으니까 혼자 피킹하지 마	They have an Operator, don't peek alone	オペレーター持ってるから一人でピークしないで
35	briefing	내 뒤에 붙어서 트레이드해줘	Stay behind me and trade me	後ろについてトレードして
36	briefing	연막 사라지면 같이 들어가자	Let's go in together when the smoke fades	スモークが消えたら一緒に入ろう
37	briefing	궁 아직 안 썼어	I haven't used my ult yet	まだウルト使ってない
38	briefing	상대 궁 빠졌어	They used their ult	相手のウルト使わせた
39	briefing	플래시 온다 뒤돌아	Flash incoming, turn away	フラッシュ来る、後ろ向いて
40	briefing	푸시하지 마 내가 먼저 볼게	Don't push, I'll check first	プッシュしないで、先に自分が見る
41	briefing	내가 죽으면 바로 같이 피킹해	Peek together as soon as I die	自分が死んだらすぐ一緒にピークして
42	briefing	한 명인 줄 알았는데 세 명이었어	I thought it was one, but there were three	一人だと思ったけど三人いた
43	briefing	B에 둘 있을지도 모르는데 확실하진 않아	There might be two B, but I'm not sure	Bに二人いるかもしれないけど確信はない
44	briefing	A 비었어 B로 로테하자	A is clear, rotate B	Aはクリア、Bにローテしよう
45	briefing	오른쪽 말고 왼쪽 봐줘	Watch left, not right	右じゃなくて左を見て
46	briefing	사이퍼 트랩 조심해	Watch out for Cypher's tripwire	サイファーのワイヤーに気をつけて
47	briefing	천천히 해 아직 40초 남았어	Play slow, we still have 40 seconds	ゆっくりでいい、まだ40秒ある
48	briefing	걔 원탭이야	He's one shot	そいつワンショット
49	briefing	뒤도는 중이니까 조금만 버텨	I'm flanking, hold on a little longer	裏取り中だからもう少し耐えて
50	briefing	B 메인 둘, 한 명은 오퍼고 다른 한 명은 딸피	Two B main, one has an Op and the other is low	Bメイン二人、一人はオペで、もう一人はロー
